web-scraper-order,web-scraper-start-url,topics,topics-href,course,course-href,course_institution,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,course_transcript_language,course_level,verified_price,audit_price
"1633026485-3189","https://www.edx.org/learn","Computer Hardware","https://www.edx.org/learn/computer-hardware","Embedded Systems
Essentials with Arm:
Getting Started…Schools and Partners: ArmEducationX…Course","https://www.edx.org/course/embedded-systems-essentials-with-arm-getting-started","Arm Education Logo","Embedded Systems Essentials with Arm: Getting Started","Get practical without hardware. Quickly prototype and build microcontroller projects using industry-standard APIs.","Estimated 6 weeks","3–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,028","Free"
"1633024572-2501","https://www.edx.org/learn","Data Analysis","https://www.edx.org/learn/data-analysis","Introduction to
Transforming with Data
Analytics and the Digital……Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/introduction-to-transforming-with-data-analytics-and-the-digital-organization","The University of Maryland, College Park Logo","Introduction to Transforming with Data Analytics and the Digital Organization","Learn how data analytics powers the digital organization and gives it a competitive edge.","Estimated 4 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633026243-3096","https://www.edx.org/learn","Robotic Process Automation","https://www.edx.org/learn/robotic-process-automation","Digital Transformation of
Mining…Schools and Partners: CurtinX…Course","https://www.edx.org/course/digital-transformation-of-mining","Curtin University Logo","Digital Transformation of Mining","This course provides learners with an overview of applications of digital technology across the value chain, including automation, monitoring and remote operations, to optimise the value extracted from a minerals deposit. It will also investigate how digitisation of the sector will likely change the required mining skills of the workforce, enhancing the safe exploitation of an orebody.","Estimated 8 weeks","4–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$6,125","Free"
"1633025200-2735","https://www.edx.org/learn","English","https://www.edx.org/learn/english","Just Reading and Writing
in English | 生活英语读写…Schools and Partners: TsinghuaX…Course","https://www.edx.org/course/just-reading-and-writing-in-english","Tsinghua University Logo","Just Reading and Writing in English | 生活英语读写","Learn how to read and write in English in the context of lectures and academic texts. 以读促写，以写辅读！掌握正确的阅读技巧和写作技巧，让你实现一次英语读写的飞跃！","Estimated 15 weeks","2–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$3,462","Free"
"1633025250-2751","https://www.edx.org/learn","Sikhism","https://www.edx.org/learn/sikhism","Sikhism Through Its
Scriptures…Schools and Partners: HarvardX…Course","https://www.edx.org/course/sikhism-through-its-scriptures","Harvard University Logo","Sikhism Through Its Scriptures","This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized.","Estimated 4 weeks","5–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633024122-2328","https://www.edx.org/learn","Mechanics","https://www.edx.org/learn/mechanics","Advanced Fluid
Mechanics 1:
Fundamentals…Schools and Partners: MITx…Course","https://www.edx.org/course/advanced-fluid-mechanics-1","Massachusetts Institute of Technology Logo","Advanced Fluid Mechanics 1: Fundamentals","Learn the fundamental principles underlying fluid dynamics; including the kinematics of deformation, hydrostatics & buoyancy, inviscid flow and the application of Bernoulli’s theorems, as well as applications of control volume analysis for more complex problems of engineering interest.","Estimated 12 weeks","8–12 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$2,028","Free"
"1633024789-2587","https://www.edx.org/learn","Bible","https://www.edx.org/learn/bible","Christianity Through Its
Scriptures…Schools and Partners: HarvardX…Course","https://www.edx.org/course/christianity-through-its-scriptures","Harvard University Logo","Christianity Through Its Scriptures","Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these writings and practiced their teachings over a 2000 year, global history.","Estimated 4 weeks","5–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633029031-3981","https://www.edx.org/learn","Entrepreneurship","https://www.edx.org/learn/entrepreneurship","Family Businesses:
Entrepreneurship and
Leadership to Transcend…Schools and Partners: TecdeMonterreyX…Professional Certificate 2 Courses","https://www.edx.org/professional-certificate/tecdemonterreyx-family-businesses-entrepreneurship-and-leadership-to-transcend","null","null","null","null","null","null","null","null","Entrepreneurs who leverage the family business or one that emerges as a family business","null","null"
"1633027147-3417","https://www.edx.org/learn","Trading","https://www.edx.org/learn/trading","FX Markets Derivatives,
Cross Currency Swaps,
and Credit Derivatives…Schools and Partners: NYIF…Course","https://www.edx.org/course/fx-markets-derivatives-cross-currency-swaps-and-credit-derivatives","New York Institute of Finance Logo","FX Markets Derivatives, Cross Currency Swaps, and Credit Derivatives","Learn about Credit Default Swaps (CDS) and other factors used in pricing and trading credit default products.","Estimated 3 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","null","null"
"1633025934-2977","https://www.edx.org/learn","Sustainable Development","https://www.edx.org/learn/sustainable-development","The Science and Practice
of Sustainable
Development…Schools and Partners: UQx…Course","https://www.edx.org/course/the-science-and-practice-of-sustainable-development-3","The University of Queensland Logo","The Science and Practice of Sustainable Development","Learn the critical foundations of sustainable development and how to achieve the UN's Sustainable Development Goals that are deeply interconnected in the field.","Estimated 11 weeks","8–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$7,681","Free"
"1633023388-2030","https://www.edx.org/learn","Psychology","https://www.edx.org/learn/psychology","Introduction to
Developmental
Psychology…Schools and Partners: UQx…Course","https://www.edx.org/course/introduction-to-developmental-psychology","The University of Queensland Logo","Introduction to Developmental Psychology","Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.","Estimated 8 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633024963-2651","https://www.edx.org/learn","Current Events","https://www.edx.org/learn/current-events","#EarthOptimism…Schools and Partners: SmithsonianX…Course","https://www.edx.org/course/earthoptimism","The Smithsonian Institution Logo","#EarthOptimism","A 5-session workshop focused on identifying conservation success stories and sharing them on Twitter.Join others from around the world who care about changing the conversation around conservation from one of doom and gloom to one of hope and optimism...and who believe that change is positively possible.","Estimated 1 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$512","Free"
"1633027256-3453","https://www.edx.org/learn","Globalization","https://www.edx.org/learn/globalization","Internationalization and
Localization…Schools and Partners: UWashingtonX…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/uwashingtonx-internationalization-and-localization","null","null","null","null","null","null","null","null","The overall language services and technology industry is expected to see a growth of 7.4% CAGR until 2022.","null","null"
"1633028425-3810","https://www.edx.org/learn","Social Media Marketing","https://www.edx.org/learn/social-media-marketing","Social Media: How Media
Got Social…Schools and Partners: CurtinX…Course","https://www.edx.org/course/social-media-how-media-got-social","Curtin University Logo","Social Media: How Media Got Social","Discover where social media came from, how it became integral to our everyday lives, and how that has changed the way we communicate.","Estimated 4 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,847","Free"
"1633026110-3041","https://www.edx.org/learn","Supply Chain Design","https://www.edx.org/learn/supply-chain-design","Supply Chain
Management…Schools and Partners: MITx…MicroMasters® Program 6 Courses","https://www.edx.org/micromasters/mitx-supply-chain-management","null","null","null","null","null","null","null","null","Exciting career opportunities as a Logistics Manager, Supply Chain Analyst, Purchasing Manager, Consultant and more. (source: Fortune and Materials Handling Institute)","null","null"
"1633024031-2292","https://www.edx.org/learn","Cognitive Science","https://www.edx.org/learn/cognitive-science","Remotely Humorous:
Build Joyful and Resilient
Virtual Teams with Hu……Schools and Partners: HumorX…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/humorx-remotely-humorous","null","null","null","null","null","null","null","null","According to the Bureau of Labor Statistics, full-time work from home is still a surprisingly new concept for more than two-thirds of Americans, and managing a staff remotely calls for a modified mindset.","null","null"
"1633024259-2379","https://www.edx.org/learn","Biology","https://www.edx.org/learn/biology","Nutrition, Heart Disease
and Diabetes…Schools and Partners: WageningenX…Course","https://www.edx.org/course/nutrition-heart-disease-and-diabetes","Wageningen University & Research Logo","Nutrition, Heart Disease and Diabetes","Discover the latest insights on the importance of nutrition and lifestyle in the development and treatment of cardiovascular diseases and diabetes mellitus in the online open course Nutrition, Heart disease and Diabetes.","Estimated 5 weeks","6–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$3,052","Free"
"1633029027-3979","https://www.edx.org/learn","Entrepreneurship","https://www.edx.org/learn/entrepreneurship","Fundamentals of
Entrepreneurship in the
Family Business…Schools and Partners: TecdeMonterreyX…Course","https://www.edx.org/course/fundamentals-of-entrepreneurship-in-the-family-business","Tecnológico de Monterrey Logo","Fundamentals of Entrepreneurship in the Family Business","Learn best practices, entrepreneurship and innovation models and how to take advantage of the strengths of the family business in order to achieve success. During this course you will carry out a transgenerational entrepreneurship project.","Estimated 5 weeks","7–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$2,028","Free"
